医疗卫生水平_省份,医疗卫生水平_代码,医疗卫生水平_年份,医疗设施_三甲医院数/个,医疗设施_基层医疗卫生机构数/个,医疗设施_专业公共卫生机构/个,医疗设施_医疗卫生机构床位数/张,医疗人才_执业医师数/人,医疗人才_注册护士数/人,医疗人才_药师数/人,医疗收支_医疗卫生机构事业收入/亿元,医疗收支_医疗卫生机构业务成本/亿元,医疗服务_诊疗人次数/万人次,医疗服务_急诊病死率%,医疗服务_入院人数/万人,医疗服务_住院病死率%,医疗保障_人均卫生费用/元,医疗保障_城乡居民医疗保健支出占消费性支出
上海,24,2024,32,6751,91,184939,96624,123983,12789,3363.15,3602.35,27733.4,0.07,666.81,0.79,11235.83,11.43
四川,25,2012,53,74215,713,390147,129605,139810,20421,873.09,771.57,42438.89,0.07,1383.11,0.43,1740.81,6.25
四川,25,2013,55,75161,2969,426635,139093,158457,21637,1019.31,909.88,43548.61,0.07,1451.85,0.41,2066.41,6.23
四川,25,2014,62,76110,2962,459596,145028,175520,22642,1170.35,1040.74,44520.6,0.07,1508.79,0.4,2305.81,6.96
四川,25,2015,63,76214,1801,488755,148776,190602,23275,1313.57,1195.62,45081.93,0.07,1546.75,0.4,2638.14,7.7
四川,25,2016,67,76619,744,519205,153601,207633,23998,1472.35,1356.83,46424.64,0.07,1655.96,0.4,3238.64,7.74
四川,25,2017,68,77487,708,563475,162709,228548,24945,1664.93,1533.97,48530.89,0.07,1824.74,0.4,3680.6,7.77
四川,25,2018,75,78427,697,598898,171277,247262,25997,1838.68,1680.77,51599.38,0.07,1835.29,0.4,3900.12,8.05
四川,25,2019,88,80500,716,631763,184960,270545,27463,2144.44,2228.32,56026.45,0.07,1981.59,0.4,4424.37,9.93
四川,25,2020,105,79491,716,649756,195334,285807,28497,2087.78,2317.18,51227.73,0.09,1756.35,0.45,4830.52,11.8
四川,25,2021,129,76875,703,662029,209833,306685,30283,2368.62,2622.21,54647.38,0.08,1863.04,0.44,5236.67,13.68
四川,25,2022,153,74259,690,674302,224332,327563,32069,2649.46,2927.24,54917.03,0.07,1969.74,0.43,5642.82,15.55
四川,25,2023,177,71643,677,686575,238831,348441,33855,2930.3,3232.27,59026.68,0.06,2076.44,0.42,6048.97,17.42
四川,25,2024,201,69027,664,698848,253330,369319,35641,3211.14,3537.3,60606.34,0.05,2183.14,0.41,6455.12,19.29
天津,26,2012,22,4095,95,53509,28200,27621,4843,331.15,301.82,9607.72,0.08,132.15,0.63,3394.9,7.9
天津,26,2013,23,4209,96,57743,29659,29715,5059,381.8,346.62,10532.71,0.09,135.91,0.62,3750.1,8.17
天津,26,2014,29,4419,145,60869,31007,31577,5193,430.65,388.52,11577.51,0.08,148.67,0.6,4291.29,7.62
天津,26,2015,31,4618,151,63693,33533,33804,5376,482.54,437.65,11880.74,0.07,150.75,0.6,4866.32,7.1
天津,26,2016,31,4844,126,65832,35435,36088,5579,524.79,478.46,12003.5,0.08,162.1,0.6,5294.21,7.44
天津,26,2017,31,4960,97,68409,38645,38205,6000,541.84,503.89,12144.66,0.08,158.11,0.7,5554.36,7.92
天津,26,2018,31,5101,96,68247,40515,39377,6127,579.4,548.23,11997.77,0.09,162.52,0.7,5698.41,8.59
天津,26,2019,31,5348,95,68262,43430,41410,6424,655.25,693.61,12288.53,0.08,169.88,0.7,6233.15,10.03
天津,26,2020,31,5258,87,68275,46206,42714,6674,614.26,720,9782.78,0.13,128.86,0.84,6545.33,11.48
天津,26,2021,33,5489,73,68681,48546,46810,7179,769.76,811.25,10853.49,0.11,162.69,0.65,6857.51,12.93
天津,26,2022,35,5720,59,69087,50886,50906,7684,925.27,902.49,10024.2,0.09,196.51,0.46,7169.69,14.38
天津,26,2023,37,5951,45,69493,53226,55002,8189,1080.78,993.73,11934.91,0.07,230.33,0.27,7481.87,15.83
天津,26,2024,39,6182,31,69899,55566,59098,8694,1236.29,1084.97,12325.62,0.05,264.15,0.08,7794.05,17.28
西藏,27,2012,2,6412,142,8352,2897,1732,428,10,12.47,1012.37,0.05,14.55,0.07,2079.51,3.73
西藏,27,2013,2,6479,138,11003,3658,2397,540,15.91,13.16,1178.43,0.05,19.47,0.05,2366,3.89
西藏,27,2014,2,6542,139,11929,3987,2715,593,18.93,18.46,1313.1,0.03,22.93,0.2,2580.03,4.36
西藏,27,2015,2,6531,142,14013,4395,3190,636,24.9,19.19,1376.17,0.08,28.99,0.1,3208.66,3.14
西藏,27,2016,2,6546,142,14456,4791,3833,654,30.08,29.12,1394.2,0.04,34.38,0.2,3780.94,2.97
西藏,27,2017,3,6533,143,16103,5720,4460,783,34.58,30.15,1599.56,0.05,33.2,0.2,4131.04,2.89
西藏,27,2018,7,6539,145,16787,6230,5573,866,39.84,35.94,1640.8,0.04,31.06,0.2,4881.82,2.83
西藏,27,2019,9,6635,147,17063,7134,5986,987,45.68,53.43,1634.29,0.06,30.56,0.2,5395.01,3.88
西藏,27,2020,9,6632,134,18586,7367,6843,1082,51.25,76.4,1628.31,0.18,33.11,0.13,5765.42,4.93
西藏,27,2021,11,6600,127,19650,8304,7795,1196,56.58,88.12,1620.51,0.04,32.18,0.2,6135.83,5.98
西藏,27,2022,13,6568,120,20714,9241,8747,1310,61.92,99.84,1412.71,-0.1,31.24,0.27,6506.24,7.02
西藏,27,2023,15,6536,113,21778,10178,9699,1424,67.26,111.56,1604.91,-0.24,30.3,0.34,6876.65,8.06
西藏,27,2024,17,6504,106,22842,11115,10651,1538,72.6,123.28,1707.11,-0.38,29.36,0.41,7247.06,9.1
新疆,28,2012,13,16970,506,131592,41358,52449,6557,280.49,262.9,8386.56,0.17,447.78,0.23,2536.29,7.94
新疆,28,2013,15,17190,605,137325,43582,56578,6923,320.33,305.13,9381.95,0.13,464.05,0.29,2945.97,7.67
新疆,28,2014,16,17178,801,142956,44999,59792,7254,360.11,343.41,9978.97,0.14,490.83,0.3,3266.62,8.32
新疆,28,2015,23,17075,802,150263,47226,63870,7543,395.8,394.93,10333.27,0.15,512.15,0.3,3691,8.1
新疆,28,2016,31,17124,775,156912,49517,67624,8111,441.97,444.67,10923.03,0.14,535.11,0.4,4012.89,8.29
新疆,28,2017,34,17059,737,167577,51037,70566,8028,482.13,478.08,11241.97,0.14,548.15,0.3,4453.89,9.43
新疆,28,2018,43,16833,697,178881,51912,72347,8064,507.3,495.45,10719.21,0.18,543.23,0.4,4843.23,9.64
新疆,28,2019,45,16851,591,186426,55990,77306,8273,609.56,705.88,12031.98,0.19,589.69,0.4,4844.05,9.9
新疆,28,2020,47,16671,556,181455,57318,80681,8365,528.09,771.32,10699.6,0.16,436.93,0.47,5841.48,10.17
新疆,28,2021,47,15528,499,186127,58674,85369,8729,606.38,882.63,10478.48,0.22,465.12,0.46,6838.91,10.43
新疆,28,2022,47,14385,442,190799,60030,90057,9093,684.68,993.94,9647.36,0.28,493.31,0.45,7836.34,10.7
新疆,28,2023,47,13242,385,195471,61386,94745,9457,762.98,1105.25,14336.24,0.34,521.5,0.44,8833.77,10.97
新疆,28,2024,47,12099,328,200143,62742,99433,9821,841.28,1216.56,16415.12,0.4,549.69,0.43,9831.2,11.24
云南,29,2012,9,21887,519,194707,56617,60755,7285,399.75,342.86,20009.25,0.04,621.18,0.26,1626.26,6.97
云南,29,2013,16,21913,1294,210125,61338,73305,8136,464.78,412.41,21119.83,0.05,675.03,0.28,1808.68,7.06
云南,29,2014,18,21835,1324,224899,62266,82823,8790,539.09,485.12,21890.23,0.04,728.55,0.3,1967.16,7.23
云南,29,2015,30,21833,1183,237597,66203,93278,9569,595.78,547.53,22836.65,0.04,748.89,0.3,2309.65,7.31
云南,29,2016,34,22395,593,253555,71460,105966,10377,684.78,637.34,24460.15,0.03,819.44,0.3,2754.12,7.87
云南,29,2017,42,22868,524,274809,77892,128513,10932,759.84,731.2,25464,0.04,892.25,0.3,3149.36,8.27
云南,29,2018,47,23108,523,291194,82233,136886,11657,848.53,812.37,25832.83,0.04,961.4,0.2,3425.52,8.95
云南,29,2019,50,23638,526,311899,93724,158461,12563,941.26,1051.13,28244.33,0.04,1011.53,0.2,3708.89,8.85
云南,29,2020,54,24592,532,325212,100245,173175,13242,972.96,1115.08,26982.52,0.04,970.49,0.25,4044.74,8.76
云南,29,2021,54,24869,544,330278,104086,182586,13987,1092.95,1269.93,29365.84,0.04,993.9,0.25,4380.59,8.66
云南,29,2022,54,25146,556,335344,107927,191997,14732,1212.93,1424.78,31049.16,0.04,1017.3,0.25,4716.44,8.57
云南,29,2023,54,25423,568,340410,111768,201408,15477,1332.91,1579.63,31832.48,0.04,1040.7,0.25,5052.29,8.48
云南,29,2024,54,25700,580,345476,115609,210819,16222,1452.89,1734.48,32615.8,0.04,1064.1,0.25,5388.14,8.39
浙江,30,2012,52,28939,377,213286,109459,121313,21613,1148.37,1084.63,45191.12,0.04,626.35,0.23,2818.51,7.14
浙江,30,2013,61,28655,396,230056,117370,132705,23036,1291.14,1220.51,47526.35,0.04,689.52,0.25,3114.45,6.13
浙江,30,2014,62,28673,577,245756,124670,145141,24451,1484.16,1394.24,50424.96,0.03,756.28,0.3,3589.3,6.25
浙江,30,2015,70,29431,483,272509,135772,159945,25763,1603.06,1523.81,52973.42,0.03,791.15,0.3,4062.49,6.22
浙江,30,2016,70,29811,420,289870,145017,174523,26872,1801.1,1718.84,55521.29,0.04,871.29,0.3,4603.84,6.22
浙江,30,2017,71,30189,394,313520,155076,187717,27885,2028.93,1939.83,59514.12,0.03,949.26,0.3,4995.65,6.04
浙江,30,2018,67,30883,393,332086,166124,201511,29048,2263.93,2140.43,62755.16,0.03,1019.74,0.3,5433.29,6.48
浙江,30,2019,65,32145,403,350191,179950,219790,30286,2524.51,2650.74,68133.15,0.03,1104.33,0.3,5881.25,6.93
浙江,30,2020,67,32376,401,361317,191541,233067,31436,2412.42,2709.78,60499.87,0.04,964.82,0.35,5909.49,7.37
浙江,30,2021,76,33021,406,369875,206656,250311,32483,2799.43,3052.2,67114.91,0.04,1081.24,0.32,5937.73,7.82
浙江,30,2022,85,33666,411,378433,221771,267555,33530,3186.45,3394.61,69529.95,0.04,1197.67,0.29,5965.97,8.26
浙江,30,2023,94,34311,416,386991,236886,284799,34577,3573.47,3737.02,75345,0.04,1314.1,0.26,5994.21,8.7
浙江,30,2024,103,34956,421,395549,252001,302043,35624,3960.49,4079.43,79030.05,0.04,1430.53,0.23,6022.45,9.14
重庆,31,2012,15,17310,167,130813,38790,49823,6884,333.75,293.79,13304.98,0.08,449.74,0.32,2110.5,7.32
重庆,31,2013,18,18025,350,147436,41712,55460,7209,407.3,354.53,13909.95,0.07,507.15,0.35,2482.61,7.34
重庆,31,2014,19,17886,298,160579,44252,62739,7628,482.36,422.02,13797.98,0.06,551.33,0.4,2746.3,7.54
重庆,31,2015,25,18986,159,176549,47689,69954,8181,547.53,487.77,14500.3,0.08,591.07,0.4,3315.82,7.1
重庆,31,2016,27,19044,156,190850,51474,77463,8574,607.39,543.52,14905.67,0.08,631.37,0.3,3492.19,7.46
重庆,31,2017,29,18748,152,206376,55216,84853,8800,679.84,616.98,15552.73,0.08,687.06,0.4,3836.11,8.24
重庆,31,2018,31,19535,153,220104,61809,95109,9389,746.03,681.37,15968.77,0.07,705.44,0.4,4430.65,8.21
重庆,31,2019,31,20001,150,231806,67366,103147,9777,847.59,885.39,17548.28,0.07,752.87,0.4,4530.36,9.31
重庆,31,2020,33,19838,149,235520,72127,109417,9927,863.92,930.72,17027.73,0.08,676.15,0.44,4860.2,10.41
重庆,31,2021,34,20268,154,240741,76155,114010,10527,1007.87,1106.26,19363.28,0.07,730.51,0.44,5190.04,11.51
重庆,31,2022,35,20698,159,245962,80183,118603,11127,1151.82,1281.8,19738.83,0.06,784.86,0.44,5519.88,12.61
重庆,31,2023,36,21128,164,251183,84211,123196,11727,1295.77,1457.34,21534.38,0.05,839.21,0.44,5849.72,13.71
重庆,31,2024,37,21558,169,256404,88239,127789,12327,1439.72,1632.88,22519.93,0.04,893.56,0.44,6179.56,14.81
