省份,代码_x,年份,基层医疗卫生机构数/个,专业公共卫生机构/个,医疗卫生机构数量/个,医疗卫生机构床位数/张,执业医师数/人,注册护士数/人,卫生人员数/万人,医疗卫生机构事业收入/亿元,人均卫生费用/元,诊疗人次数/万人次,入院人数/万人,城乡居民医疗保健支出占消费性支出,代码_y,甲乙类法定报告传染病发病率（1/10w）,甲乙类法定报告传染病死亡率（1/10w）,人口死亡率‰,人口平均预期寿命（岁）,孕产妇死亡率‰,新生儿访视率%,3岁以下儿童系统管理率%,7岁以下儿童健康保健管理率%,围产婴儿死亡率‰,5岁以下儿童低体重患病率%,出院人数（万人）,年末常住人口,卫生总费用,政府卫生支出（亿元）,卫生总费用占GDP比重（%）,农村每万人医疗机构床位数,城市每万人医疗机构床位数,基层医疗卫生机构床位数,每万人拥有农村卫生技术人员数,每万人拥有城市卫生技术人员数,人均GDP_元每人,城镇化率,65岁及以上人口占比,教育水平_每十万人高等学校在校生数,财政支出能力_元每人,每千人床位数,每千人医师数,每千人护士数,每千人诊疗人次,每千人出院人数,城乡床位差,城乡床位比,城乡卫技人员差,城乡卫技人员比,总抚养比（%）,少年儿童抚养比（%）,老年人口抚养比（%）,区域,基层机构占比,基层床位占比,每千老年人床位数,每千老年人医师数,每千老年人护士数,每千老年人诊疗人次,每千老年人出院人数,老龄化压力_基础项,老龄化压力_扩展项,资源保障_基层承接项,资源保障_均衡项
贵州,7,2014,26432,1464,28995,182189,45649,67204,23.75,379.29001,1846.75,13016.03,640.14001,5.079999900000001,7,254.2,1.86,7.18,74.019997,7.179999799999999,94.099998,84.599998,85.800003,5.4400001,1.1,633.84,3677,647.85,310.36,6.99,34.42,100.62,4.17,30.0,110.0,25441,0.402502039706282,0.0922279792746114,1690,9635.02855588795,4.954827304868099,1.241474027740005,1.827685613271689,3539.850421539299,172.3796573293446,66.2,2.923300406740267,80.0,3.666666666666667,45.61,32.18,13.43,西部,0.911605449215382,0.22888319272843036,5372.368931682826,1346.0926255832637,1981.704063828292,3838152.4233544087,186906.032946986,0.0922279792746114,13.43,0.22888319272843036,80.0
辽宁,17,2014,33297,1031,35441,255513,91213,105828,33.92,722.09998,3028.54,18451.301,635.15002,8.4700003,17,236.07001,0.5,6.23,77.300003,6.23,95.400002,91.300003,95.0,6.889999900000001,0.82999998,631.94,4358,1329.95,289.38,4.65,37.85,87.33,3.53,34.0,92.0,46730,0.670491050940799,0.121619384037973,2933,11657.8476365305,5.863079394217531,2.093001376778339,2.428361633776962,4233.891922900413,145.0068838916934,49.48,2.307265521796565,58.0,2.705882352941177,28.91,13.23,15.68,东北,0.9395050929714173,0.13815344033375992,4820.842862011958,1720.9439048999334,1996.68963379946,3481264.0734790047,119230.0758951535,0.121619384037973,15.68,0.13815344033375992,58.0
重庆,31,2014,17886,298,18767,160579,44252,62739,21.05,482.35999,2746.3,13797.98,551.33002,7.54,31,250.39,1.9400001,7.05,76.839996,7.0500002,93.0,88.0,90.300003,4.3200002,0.95999998,548.81,3043,821.53,255.09,5.76,38.98,57.15,4.74,32.0,61.0,49262,0.5974367400591519,0.141248430347956,3017,10858.9878409464,5.276996385146237,1.454222806441012,2.061748274728886,4534.334538284587,180.3516266841932,18.17,1.46613648024628,29.0,1.90625,41.61,21.61,20.0,西部,0.9530558959876378,0.2951818108220876,3735.9681605995274,1029.549711001129,1459.6610168692903,3210184.0191176347,127683.98646265244,0.141248430347956,20.0,0.2951818108220876,29.0
陕西,23,2014,34202,1949,37247,199372,63214,97221,33.63,502.92001,2977.53,17508.461,595.66998,9.3100004,23,201.45,0.40000001,6.26,75.93,6.2600002,97.199997,95.300003,96.0,4.5300002,1.01,591.81,3827,1124.02,317.92,6.35,38.89,74.27,3.49,48.0,97.0,46221,0.53018029788346,0.10611458834858,3652,10354.0632349099,5.209615887117847,1.651789913770577,2.540397177946172,4574.983276718056,154.6407107394826,35.38,1.90974543584469,49.0,2.020833333333333,33.88,21.92,11.96,西部,0.9182484495395602,0.1750496559195875,4909.424772025289,1556.6096419698176,2394.0131300336584,4311361.28209772,145729.92568325973,0.10611458834858,11.96,0.1750496559195875,49.0
青海,20,2014,5878,174,6241,33007,10954,12750,4.64,76.959999,3004.8899,2253.4199,86.480003,7.599999900000001,20,387.76999,0.68000001,6.18,71.559998,6.1799998,92.400002,87.199997,83.199997,6.9899998,2.3599999,87.89,576,175.31,87.25,7.61,38.76,150.11,0.57,36.0,175.0,32696,0.508680555555556,0.0710427918570835,1220,23392.8819444444,5.730381944444445,1.901736111111111,2.213541666666667,3912.187326388889,152.5868055555556,111.35,3.87280701754386,139.0,4.861111111111111,36.06,26.84,9.22,西部,0.9418362441916359,0.1726906413791014,8066.09902940221,2676.888198505523,3115.7864278752445,5506804.031940384,214781.54442820023,0.0710427918570835,9.22,0.1726906413791014,139.0
黑龙江,11,2014,18725,1443,21229,201337,68892,77720,28.35,499.22,2588.4399,12084.46,489.57001,10.36,11,207.8,0.69,6.46,77.209999,6.46,95.699997,93.699997,94.800003,6.639999900000001,1.55,486.7,3608,992.15,242.6,6.6,32.8,91.81,2.93,38.0,90.0,33976,0.5922949002217289,0.0939238745574102,2555,9518.34811529933,5.580293791574279,1.909423503325942,2.15410199556541,3349.351441241685,134.8946784922394,59.01000000000001,2.799085365853659,52.0,2.368421052631579,26.55,14.66,11.89,东北,0.8820481416929672,0.14552715099559446,5941.294285260102,2032.9479723058298,2293.4552111654343,3566027.7613381688,143621.2881207175,0.0939238745574102,11.89,0.14552715099559446,52.0
上海,24,2015,4480,116,5016,122813,59368,75436,20.84,1139.5,6362.02,25616.039,335.06,7.320000200000001,24,186.91,0.44999999,5.07,81.410004,5.0700002,98.099998,98.0,99.5,2.1500001,0.13,334.8,2458,1536.6,319.94,6.12,46.45,86.82,1.71,77.0,120.0,112981,0.8852725793327908,0.128186203724502,3330,25189.4222945484,4.996460537021969,2.415296989422294,3.06899918633035,10421.4967453214,136.2082994304313,40.36999999999999,1.869106566200215,43.0,1.558441558441559,28.47,12.0,16.47,东部,0.8931419457735247,0.13923607435694918,3897.814578985715,1884.2097817431695,2394.17277145226,8129967.53357272,106258.15842332799,0.128186203724502,16.47,0.13923607435694918,43.0
云南,29,2015,21833,1183,24181,237597,66203,93278,30.46,595.78003,2309.6499,22836.65,748.89001,7.309999900000001,29,207.72,4.1999998,6.48,71.779999,6.48,97.599998,91.900002,92.800003,7.0500002,1.9299999,744.8,4663,1095.19,425.76,8.04,43.05,102.31,4.89,38.0,122.0,32973,0.4293373364786621,0.0840603726990626,1819,10106.8625348488,5.095367788977053,1.419751233111731,2.000386017585245,4897.415826720995,159.7254986060476,59.26000000000001,2.376538908246225,84.0,3.210526315789474,37.98,26.38,11.6,西部,0.9028989702659113,0.20581067942777054,6061.557456113771,1688.96614126904,2379.701580370881,5826069.608629762,190012.83658099794,0.0840603726990626,11.6,0.20581067942777054,84.0
内蒙古,18,2015,22421,664,23886,133889,54862,61223,21.25,337.42001,3302.78,10024.85,295.91,8.380000099999998,18,268.39999,0.38,5.32,76.0,5.3200002,95.699997,93.900002,94.699997,5.54,0.60000002,295.3,2440,829.33,271.46,4.65,38.41,97.04,2.4,46.0,119.0,53437,0.6209016393442621,0.095555863072815,2035,17430.1639344262,5.487254098360656,2.24844262295082,2.509139344262295,4108.545081967213,121.0245901639344,58.63000000000001,2.526425410049467,73.0,2.58695652173913,29.24,16.89,12.35,西部,0.9386670015908901,0.17925296327554913,5742.456738818094,2353.013777121633,2625.83504933684,4299626.36498447,126653.23327330721,0.095555863072815,12.35,0.17925296327554913,73.0
北京,2,2015,8912,113,9771,111555,80410,94626,28.92,1354.88,8453.1396,21780.33,276.38,6.4899998,2,150.86,0.81999999,4.95,81.309998,4.9499998,96.5,92.900002,98.5,3.25,0.16,275.4,2188,1834.75,445.81,7.99,36.82,84.31,0.44,86.0,170.0,119422,0.867001828153565,0.106544561090016,5218,26223.491773309,5.098491773308958,3.675045703839122,4.324771480804388,9954.446983546619,125.8683729433272,47.49,2.289788158609452,84.0,1.976744186046512,26.23,12.78,13.45,东部,0.9120867874321973,0.039442427502129,4785.313976751389,3449.303902743751,4059.119899279073,9342989.338645296,118136.8355696591,0.106544561090016,13.45,0.039442427502129,84.0
吉林,14,2015,19409,432,20612,144500,59074,60719,21.42,411.67999,3025.98,10469.23,341.44,11.25,14,174.25999,0.69999999,5.53,77.300003,5.5300002,95.599998,91.699997,92.0,6.650000099999999,0.31999999,337.2,2613,833.05,252.11,5.92,36.89,93.26,2.1,45.0,93.0,38679,0.5763490241102179,0.10914305583754,3169,12311.9020283199,5.530042097206277,2.260773057787983,2.32372751626483,4006.593953310371,129.0470723306544,56.37,2.52805638384386,48.0,2.066666666666667,29.7,15.54,14.16,东北,0.9416359402289928,0.1453287197231834,5066.783273356184,2071.385156333863,2129.065837888679,3670956.3632469727,118236.63112634636,0.10914305583754,14.16,0.1453287197231834,48.0
四川,25,2015,76214,1801,80109,488755,148776,190602,64.65,1313.5699,2638.1399,45081.93,1546.75,7.6999998,25,187.72,2.3199999,6.94,76.269997,6.940000099999999,95.0,93.900002,93.099998,4.02,1.21,1542.6,8196,2164.33,696.24,7.2,44.26,77.9,13.07,39.0,85.0,37746,0.482674475353831,0.129393582814852,2312,9147.76720351391,5.963335773548073,1.815226939970717,2.325549048316252,5500.479502196194,188.2137628111274,33.64000000000001,1.760054225033891,46.0,2.179487179487179,40.49,22.31,18.18,西部,0.9513787464579511,0.2674141441008276,4608.679691697657,1402.8724612781666,1797.2676833934315,4250967.770223022,145458.3440049269,0.129393582814852,18.18,0.2674141441008276,46.0
天津,26,2015,4618,151,5223,63693,33533,33804,11.81,482.5400099999999,4866.3198,11880.74,150.75,7.099999900000001,26,242.66,0.50999999,5.61,80.099998,5.6100001,98.099998,86.800003,93.300003,6.719999799999999,0.31999999,150.7,1439,752.79,202.24,4.55,40.1,66.32,0.7,55.0,95.0,75936,0.8290479499652541,0.102941053599031,4185,22462.4739402363,4.426198749131341,2.330298818624045,2.349131341209173,8256.247394023629,104.7255038220987,26.21999999999999,1.653865336658354,40.0,1.727272727272727,25.67,12.73,12.94,东部,0.884166188014551,0.10990218705352237,4299.741059938992,2263.721554377,2282.0160267247215,8020364.184519427,101733.46800006377,0.102941053599031,12.94,0.10990218705352237,40.0
宁夏,19,2015,3981,129,4288,33804,14200,16135,5.26,110.26,3411.75,3576.99,97.959999,9.9399996,19,234.95,0.50999999,4.58,74.980003,4.579999900000001,98.900002,94.099998,96.199997,8.3100004,0.80000001,97.0,684,227.86,77.14,7.83,29.61,77.04,0.32,36.0,96.0,38836,0.570175438596491,0.0736178000385282,2244,16644.5906432749,4.942105263157894,2.076023391812865,2.358918128654971,5229.517543859648,141.812865497076,47.43000000000001,2.601823708206687,60.0,2.666666666666667,40.74,30.71,10.03,西部,0.9284048507462687,0.09466335344929594,6713.193358904261,2820.001943451677,3204.2768561685093,7103604.754723391,192633.93557381176,0.0736178000385282,10.03,0.09466335344929594,60.0
安徽,1,2015,22030,1721,24853,267405,84620,119303,37.74,741.3200099999999,2376.98,26124.0,842.98999,7.29,1,242.66,0.50999999,5.94,76.519997,5.9400001,89.400002,85.900002,90.900002,4.1999998,0.66000003,838.7,6011,1460.42,497.29,6.64,28.14,63.8,5.86,29.0,69.0,40211,0.509732157710863,0.111832985473586,2309,8715.7045416736,4.448594243886209,1.407752453834636,1.984744634836134,4346.032274164033,139.5275328564299,35.66,2.267235252309879,40.0,2.379310344827586,40.75,25.01,15.74,中部,0.8864121031666197,0.21914324713449637,3977.890981848937,1258.79895620522,1774.739918129892,3886181.036623161,124764.20285621824,0.111832985473586,15.74,0.21914324713449637,40.0
山东,21,2015,73041,2086,77259,519369,202993,254170,85.57,1683.89,2888.0901,61521.328,1521.76,7.469999799999999,21,130.89999,0.28999999,6.67,77.82,6.670000099999999,93.400002,92.199997,92.199997,3.9200001,0.99000001,1513.3,9866,2843.96,722.22,4.51,42.12,77.05,11.62,47.0,98.0,57090,0.569734441516319,0.116589570037948,2516,8362.061625785529,5.264230691262923,2.057500506790999,2.576221366308534,6235.691060206771,153.3853638759376,34.93,1.829297245963913,51.0,2.085106382978724,38.92,22.72,16.2,东部,0.9454044189026521,0.22373302988819124,4515.181494836546,1764.7380517153604,2209.6499416457373,5348412.433614049,131560.10767173528,0.116589570037948,16.2,0.22373302988819124,51.0
山西,22,2015,39196,460,41002,183209,77314,83344,29.49,413.62,2518.8201,12521.26,381.41,9.3000002,22,268.20999,0.34,5.56,76.41999799999999,5.5599999,91.5,89.0,91.0,6.9499998,0.87,379.7,3519,922.93,298.09,7.23,36.85,91.85,3.76,39.0,118.0,34159,0.5586814435919301,0.0918785371498408,2504,9727.10997442455,5.206280193236715,2.197044614947428,2.368400113668656,3558.186984938903,107.899971582836,54.99999999999999,2.492537313432836,79.0,3.025641025641026,31.99,19.86,12.13,中部,0.9559533681283839,0.20523009240812404,5666.481372843381,2391.2490153868703,2577.7512214916233,3872707.4845956755,117437.62464009033,0.0918785371498408,12.13,0.20523009240812404,79.0
广东,5,2015,45013,1831,48320,435666,186807,254098,76.85,2260.8401,3043.29,78526.094,1441.45,4.98,5,313.19,0.97000003,4.32,77.449997,4.3200002,95.599998,92.099998,95.900002,4.6399999,1.6799999,1438.9,11678,3301.67,956.0,4.53,26.72,76.21,6.38,34.0,113.0,65456,0.6950676485699611,0.0737149945351812,2434,10984.5864017811,3.730655934235314,1.599648912485015,2.175869155677342,6724.275903408117,123.2145915396472,49.48999999999999,2.852170658682635,79.0,3.323529411764706,30.53,20.91,9.62,东部,0.9315604304635762,0.14644245821340202,5060.918687926948,2170.045487450409,2951.7320992798655,9121991.998790545,167149.97039149454,0.0737149945351812,9.62,0.14644245821340202,79.0
广西,6,2015,32216,1657,34439,214485,73379,113202,37.48,656.01001,2103.71,25188.359,831.15002,6.4400001,6,262.75,6.1100001,6.15,76.760002,6.1500001,99.300003,89.5,90.5,7.190000099999999,4.1599998,828.3,4811,1008.94,386.97,6.0,31.6,58.47,6.09,36.0,86.0,31375,0.4799418000415711,0.0976317540118834,2178,8450.44689253793,4.45822074412804,1.525233839118686,2.352982747869466,5235.576595302432,172.1679484514654,26.87,1.850316455696202,50.0,2.388888888888889,47.9,33.46,14.44,西部,0.9354510874299486,0.2839359395761941,4566.363463658966,1562.2313196719172,2410.058870378452,5362575.576246614,176344.2132059921,0.0976317540118834,14.44,0.2839359395761941,50.0
新疆,28,2015,17075,802,18798,150263,47226,63870,20.85,395.79999,3691.0,10333.27,512.15002,8.1000004,28,635.10999,4.3000002,4.51,74.0,4.5100002,91.5,86.900002,87.400002,14.2,2.02,510.0,2385,870.98,262.92,9.34,59.38,128.46,2.9,61.0,166.0,40534,0.487631027253669,0.0712861537791971,1759,15953.3333333333,6.300335429769392,1.980125786163522,2.677987421383648,4332.607966457023,213.8364779874214,69.08000000000001,2.163354664870327,105.0,2.721311475409836,41.39,33.32,8.07,西部,0.9083413129056283,0.19299494885633856,8838.091404516163,2777.714438482396,3756.672620714662,6077769.295671239,299969.161823153,0.0712861537791971,8.07,0.19299494885633856,105.0
江苏,15,2015,28841,1244,31925,413612,157369,203998,61.89,1877.11,3729.0701,54579.16,1217.58,6.98,15,124.24,0.43000001,7.03,77.970001,7.030000200000001,100.0,97.400002,98.400002,3.1099999,0.56,1214.1,8315,2974.42,674.73,4.24,36.98,84.78,7.61,43.0,100.0,86618,0.6749248346361999,0.12690681251373,2896,11650.7276007216,4.974287432351173,1.892591701743837,2.45337342152736,6563.93986770896,146.0132291040289,47.8,2.292590589507842,57.0,2.325581395348837,35.6,18.39,17.21,东部,0.9033985904463586,0.18398885912400995,3919.637830170075,1491.3239598851935,1933.2086063243692,5172251.778838752,115055.46960942839,0.12690681251373,17.21,0.18398885912400995,57.0
江西,16,2015,37066,812,38557,197837,63704,89579,29.16,546.97998,2143.54,20838.311,712.08002,5.670000099999999,16,227.94,0.85000002,6.24,75.989998,6.2399998,93.599998,86.5,87.900002,3.0699999,2.55,709.7,4485,978.66,421.78,5.85,30.56,80.79,5.01,31.0,93.0,37995,0.523076923076923,0.0906168725160157,2654,9838.46153846154,4.41108138238573,1.420379041248606,1.997302118171683,4646.223188405797,158.2385730211817,50.23,2.643651832460733,62.0,3.0,43.94,30.9,13.04,中部,0.9613299789921415,0.25323877737733586,4867.836706244869,1567.4553775816605,2204.1172495979467,5127326.798422247,174623.74128307562,0.0906168725160157,13.04,0.25323877737733586,62.0
河北,9,2015,75562,1264,78594,342096,128786,132837,53.33,955.1599699999999,2507.1001,42134.078,991.3200099999999,8.5600004,9,184.92,0.27000001,5.79,77.010002,5.79,93.099998,90.599998,93.400002,4.110000100000001,2.22,984.1,7345,1861.5,552.58,6.25,34.32,84.16,7.5,34.0,104.0,36466,0.5166780122532341,0.101741866587281,2141,7668.05990469707,4.657535738597685,1.753383253914227,1.808536419332879,5736.429952348536,133.9823008849557,49.84,2.452214452214452,70.0,3.058823529411764,39.67,25.46,14.21,东部,0.9614219915006235,0.2192367054861793,4577.796628688878,1723.3645427667254,1777.5734611487544,5638219.687494569,131688.46353926157,0.101741866587281,14.21,0.2192367054861793,70.0
河南,10,2015,67092,2471,71394,489621,143010,205366,77.11,1256.49,2382.3799,55552.949,1501.6,8.25,10,204.75999,1.52,7.05,76.809998,7.0500002,88.400002,85.800003,86.599998,3.9200001,1.61,1492.1,9701,2258.5,729.7,6.1,31.94,93.65,10.99,33.0,104.0,38042,0.4701577156994121,0.098509369618617,2293,7008.91660653541,5.04711885372642,1.474177919802082,2.116957014740748,5726.517781671992,153.8088856818885,61.71000000000001,2.932060112711334,71.0,3.151515151515151,44.58,30.34,14.24,中部,0.9397428355323977,0.22445932670371574,5123.491169689284,1496.4849795602402,2148.990520329825,5813170.669797642,156136.30081825296,0.098509369618617,14.24,0.22445932670371574,71.0
浙江,30,2015,29431,483,31137,272509,135772,159945,49.1,1603.0601,4062.49,52973.422,791.15002,6.2199998,30,193.24001,0.62,5.5,78.959999,5.5,99.0,96.900002,97.300003,3.98,0.50999999,789.7,5985,2250.21,500.08,5.25,38.46,89.94,2.34,61.0,126.0,74479,0.6631578947368421,0.112651827866193,2414,11104.3943191312,4.553199665831245,2.268538011695906,2.672431077694235,8851.031244778613,131.9465329991646,51.48,2.338533541341654,65.0,2.065573770491803,31.89,17.03,14.86,东部,0.9452098789221827,0.08586872360178928,4041.8338096027173,2013.7604996436085,2372.2926900649395,7856979.697916487,117127.73374249168,0.112651827866193,14.86,0.08586872360178928,65.0
海南,8,2015,4714,119,5046,38698,15346,24662,7.13,133.5,2883.25,4640.8701,104.61,5.7600002,8,342.48001,0.86000001,6.0,75.08000200000001,6.0,89.300003,86.800003,92.800003,5.0100002,2.95,104.5,945,262.61,102.7,7.09,28.18,86.31,0.64,39.0,124.0,40220,0.549206349206349,0.0844232887934687,2290,13115.6613756614,4.095026455026455,1.623915343915344,2.60973544973545,4910.973650793651,110.5820105820106,58.13,3.062810503903478,85.0,3.179487179487179,39.39,27.62,11.77,东部,0.9342053111375347,0.16538322393922167,4850.588639166188,1923.5395435589523,3091.250633601647,5817084.030933396,130985.19633905287,0.0844232887934687,11.77,0.16538322393922167,85.0
湖北,12,2015,34563,578,36179,343147,112243,165077,47.57,1030.48,2818.49,34839.398,1107.52,8.2600002,12,251.55,0.77999997,5.83,76.150002,5.829999900000001,95.599998,91.599998,92.300003,4.369999900000001,1.1799999,1103.3,5850,1649.24,530.67,5.58,42.84,86.39,8.39,44.0,97.0,52566,0.5717948717948721,0.112338345773702,3038,10483.4871794872,5.865760683760683,1.918683760683761,2.82182905982906,5955.45264957265,188.5982905982906,43.55,2.016573295985061,53.0,2.204545454545455,35.9,20.63,15.27,中部,0.9553332043450621,0.2445016275823481,5221.512426021352,1707.9508759625319,2511.9019159436834,5301353.343380637,167884.16217042142,0.112338345773702,15.27,0.2445016275823481,53.0
湖南,13,2015,58586,2778,62646,396950,112352,149345,49.42,987.7999900000001,2402.0601,25696.131,1304.12,7.2399998,13,244.74001,1.13,6.86,76.019997,6.860000099999999,94.800003,88.900002,89.400002,4.8400002,1.45,1295.3,6615,1629.32,506.82,5.61,42.94,106.85,10.35,38.0,110.0,43568,0.507936507936508,0.112233332923034,2215,8660.19652305367,6.000755857898715,1.698442932728647,2.257671957671957,3884.524716553288,195.8125472411187,63.91,2.488355845365626,72.0,2.894736842105263,42.11,26.16,15.95,中部,0.9351913929061711,0.2607381282277365,5346.678835612803,1513.3141719077205,2011.5877332273433,3461114.996217006,174469.15469881005,0.112233332923034,15.95,0.2607381282277365,72.0
甘肃,4,2015,25459,1774,27799,127743,40145,47782,18.14,258.22,2516.1001,12530.78,351.85001,7.219999799999999,4,188.74001,0.44999999,6.15,73.08000200000001,6.1500001,96.699997,93.300003,92.699997,7.429999799999999,1.3,349.2,2523,654.07,259.1,9.63,37.2,68.35,2.87,35.0,76.0,26883,0.442330558858502,0.0936415528215717,2194,11725.3666270313,5.063139120095125,1.591161315893777,1.893856520015854,4966.619104240984,138.4066587395957,31.14999999999999,1.837365591397849,41.0,2.171428571428571,37.29,27.55,9.74,西部,0.9158243102269866,0.22466984492300948,5406.936309292765,1699.2043253764045,2022.4531342666673,5303862.392910736,147804.74540327326,0.0936415528215717,9.74,0.22466984492300948,41.0
福建,3,2015,25876,1401,27921,173007,66028,90450,28.13,626.84003,2945.0701,21190.051,523.03998,5.4000001,3,278.23999,0.43000001,6.1,77.029999,6.0999999,94.300003,91.400002,94.800003,4.8200002,0.94999999,521.9,3984,1130.61,357.42,4.35,36.09,70.57,3.35,40.0,98.0,68880,0.6322791164658629,0.0900567571919279,2508,10044.1265060241,4.342545180722891,1.657329317269076,2.270331325301205,5318.787901606425,130.9989959839357,34.47999999999999,1.955389304516486,58.0,2.45,36.2,23.93,12.27,东部,0.9267576376204291,0.19363378360413164,4822.009270740351,1840.3164503658454,2521.0005291026655,5906039.776972079,145462.7060407607,0.0900567571919279,12.27,0.19363378360413164,58.0
西藏,27,2015,6531,142,6814,14013,4395,3190,2.91,24.9,3208.6599,1376.17,28.99,3.1400001,27,325.51999,0.60000002,5.1,70.18,5.0999999,81.800003,73.099998,64.699997,16.9,4.869999900000001,28.7,330,103.95,72.39,10.13,32.53,109.41,0.34,33.0,116.0,32477,0.287878787878788,0.0570762728601335,1766,41862.4242424242,4.246363636363636,1.331818181818182,0.9666666666666667,4170.212121212122,86.96969696969695,76.88,3.363356901321857,83.0,3.515151515151515,34.04,20.17,13.87,西部,0.9584678602876431,0.24263184186112896,7439.805410506448,2333.4007549543885,1693.6401384083047,7306384.793960366,152374.52028939917,0.0570762728601335,13.87,0.24263184186112896,83.0
贵州,7,2015,26175,1318,28712,196422,50401,76032,25.91,419.60999,2136.78,13201.16,633.88,6.130000099999999,7,266.60999,2.1099999,7.2,74.75,7.1999998,93.699997,87.800003,88.699997,5.04,1.21,626.5,3708,754.18,371.7,7.18,35.56,111.64,4.21,32.0,121.0,29484,0.429611650485437,0.0947867212435384,1819,10624.3257820928,5.297249190938511,1.359250269687163,2.050485436893204,3560.183387270766,168.9590075512405,76.08,3.139482564679415,89.0,3.78125,46.88,32.96,13.92,西部,0.9116397325160212,0.21433444318864486,5588.598404335696,1434.0091648436703,2163.26233252106,3755993.814917892,178251.7691661989,0.0947867212435384,13.92,0.21433444318864486,89.0
辽宁,17,2015,33105,955,35236,266986,94231,110976,34.85,787.75,3221.8601,18550.98,646.35999,9.380000099999998,17,211.17999,0.56999999,6.59,77.529999,6.5900002,94.5,93.400002,94.400002,6.079999900000001,0.81,643.3,4338,1411.95,292.79,4.92,39.36,91.54,3.53,35.0,95.0,47511,0.680497925311203,0.128653656630815,2876,10331.051175657,6.154587367450438,2.172222222222222,2.558229598893499,4276.390041493775,148.2941447671738,52.18000000000001,2.325711382113821,60.0,2.714285714285714,30.67,13.86,16.81,东北,0.9395220796912249,0.1322166705370319,4783.841772264324,1688.4263371196973,1988.4624082116875,3323955.3025417067,115266.17171303512,0.128653656630815,16.81,0.1322166705370319,60.0
重庆,31,2015,18986,159,19806,176549,47689,69954,22.71,547.53003,3315.8201,14500.3,591.0700099999999,7.099999900000001,31,262.07999,2.0699999,7.19,77.129997,7.190000099999999,93.300003,89.400002,92.0,3.98,1.15,588.1,3070,1000.23,323.69,6.36,41.93,63.69,4.87,34.0,66.0,53348,0.6146579804560259,0.132921293401314,3071,12351.7915309446,5.750781758957655,1.553387622149837,2.278631921824104,4723.224755700326,191.5635179153095,21.76,1.518960171714763,32.0,1.941176470588235,40.63,21.94,18.69,西部,0.9585984045238817,0.2758440999382608,4326.4563651174985,1168.652201916116,1714.2715538769942,3553399.635858218,144118.00623767913,0.132921293401314,18.69,0.2758440999382608,32.0
陕西,23,2015,34098,1804,37030,211885,66172,104317,34.99,559.71997,3307.0801,17501.109,625.46997,9.6000004,23,200.14,0.5,6.28,76.239998,6.2800002,97.599998,95.0,96.0,4.27,0.94,622.5,3846,1254.37,377.76,6.96,40.35,80.16,3.56,49.0,104.0,47408,0.5473218928757151,0.103494381908081,3628,11378.2111284451,5.509230369214769,1.720540821632865,2.712350494019761,4550.470358814352,161.8564742589703,39.81,1.986617100371747,55.0,2.122448979591837,35.98,23.25,12.73,西部,0.9208209559816365,0.16801566887698516,5323.216842927587,1662.4485212742961,2620.770754907979,4396828.383260333,156391.55601965322,0.103494381908081,12.73,0.16801566887698516,55.0
青海,20,2015,5860,178,6223,34546,11572,13194,4.84,83.440002,3667.8,2281.71,84.129997,8.3900003,20,414.29999,0.63,6.17,71.959999,6.170000099999999,89.800003,90.900002,87.300003,6.96,2.0699999,83.2,577,215.82,107.08,8.93,39.9,163.26,0.58,36.0,191.0,35634,0.516464471403813,0.0709740096713277,1275,26259.2720970537,5.987175043327556,2.005545927209706,2.286655112651646,3954.436741767764,144.1941074523397,123.36,4.091729323308271,155.0,5.305555555555555,37.85,27.7,10.15,西部,0.9416680057849912,0.16789208591443294,8435.728897174416,2825.7469692034497,3221.82038642156,5571668.78422157,203164.6628393769,0.0709740096713277,10.15,0.16789208591443294,155.0
黑龙江,11,2015,18386,1301,20752,212590,70428,80955,28.59,548.3200099999999,2736.5601,11474.85,514.94,10.08,11,199.75999,0.70999998,6.6,77.519997,6.599999900000001,96.5,93.5,94.800003,6.650000099999999,1.42,512.0,3529,1043.18,284.34,6.92,34.55,99.33,3.0,39.0,93.0,33693,0.604703882119581,0.108382753646418,2518,11393.1992065741,6.024086143383395,1.995692830830263,2.293992632473789,3251.586851799377,145.08359308586,64.78,2.874963820549928,54.0,2.384615384615385,27.25,13.46,13.79,东北,0.8859868928296067,0.14111670351380592,5558.159338741333,1841.3380022996118,2116.56610973143,3000096.179884096,133862.2504085593,0.108382753646418,13.79,0.14111670351380592,54.0
上海,24,2016,4470,117,5016,129166,61762,79373,21.71,1294.67,7595.98,25931.91,366.60999,7.21,24,184.0,0.60000002,5.0,81.629997,5.0,98.099998,98.0,99.599998,2.1900001,0.15000001,366.16,2467,1838.0,430.73,6.52,46.98,91.09,1.67,76.0,125.0,125742,0.8901499797324691,0.12963146423618,3327,28045.9667612485,5.235751925415484,2.503526550466153,3.21738954195379,10511.51601134982,148.4231860559384,44.11000000000001,1.938910174542359,49.0,1.644736842105263,29.26,12.5,16.76,东部,0.8911483253588517,0.12929098988898008,4038.951466193647,1931.264577791772,2481.951091821287,8108769.019378298,114496.26595709907,0.12963146423618,16.76,0.12929098988898008,49.0
