省份,代码_x,年份,基层医疗卫生机构数/个,专业公共卫生机构/个,医疗卫生机构数量/个,医疗卫生机构床位数/张,执业医师数/人,注册护士数/人,卫生人员数/万人,医疗卫生机构事业收入/亿元,人均卫生费用/元,诊疗人次数/万人次,入院人数/万人,城乡居民医疗保健支出占消费性支出,代码_y,甲乙类法定报告传染病发病率（1/10w）,甲乙类法定报告传染病死亡率（1/10w）,人口死亡率‰,人口平均预期寿命（岁）,孕产妇死亡率‰,新生儿访视率%,3岁以下儿童系统管理率%,7岁以下儿童健康保健管理率%,围产婴儿死亡率‰,5岁以下儿童低体重患病率%,出院人数（万人）,年末常住人口,卫生总费用,政府卫生支出（亿元）,卫生总费用占GDP比重（%）,农村每万人医疗机构床位数,城市每万人医疗机构床位数,基层医疗卫生机构床位数,每万人拥有农村卫生技术人员数,每万人拥有城市卫生技术人员数,人均GDP_元每人,城镇化率,65岁及以上人口占比,教育水平_每十万人高等学校在校生数,财政支出能力_元每人,每千人床位数,每千人医师数,每千人护士数,每千人诊疗人次,每千人出院人数,城乡床位差,城乡床位比,城乡卫技人员差,城乡卫技人员比,总抚养比（%）,少年儿童抚养比（%）,老年人口抚养比（%）,区域,基层机构占比,基层床位占比,每千老年人床位数,每千老年人医师数,每千老年人护士数,每千老年人诊疗人次,每千老年人出院人数,老龄化压力_基础项,老龄化压力_扩展项,资源保障_基层承接项,资源保障_均衡项
山西,22,2012,38443,457,40192,165309,73507,70337,27.95,302.63,1841.79,11900.67,349.06,7.530000200000001,22,310.17999,0.44,5.83,75.519997,5.829999900000001,91.0,86.0,88.199997,7.849999900000001,1.08,348.47,3548,665.04,206.68,5.49,34.03,81.26,4.0,38.0,106.0,33245,0.513246899661781,0.079660116834838,2351,7777.50845546787,4.659216459977452,2.071786922209696,1.982440811724915,3354.191093573844,98.21589627959415,47.23,2.387893035556861,68.0,2.789473684210526,31.02,20.58,10.44,中部,0.956483877388535,0.2419710965525168,5848.8697294250305,2600.783183013906,2488.6240323186776,4210627.886133034,123293.6884629839,0.079660116834838,10.44,0.2419710965525168,68.0
广东,5,2012,44585,661,46534,355274,159428,199534,66.25,1587.3101,2062.77,71491.797,1215.8,4.9899998,5,317.54999,1.11,4.65,76.870003,4.6500001,94.099998,92.400002,95.599998,5.8400002,1.08,1228.01,11041,2185.3,587.32,3.83,22.95,68.91,5.95,31.0,104.0,53271,0.671497146997555,0.0698229537869789,2082,6691.296078253779,3.217770129517254,1.443963409111493,1.80720949189385,6475.119735531202,111.222715333756,45.95999999999999,3.002614379084967,73.0,3.354838709677419,30.47,21.36,9.11,东部,0.9581166458933253,0.1674763703507715,4608.470359667493,2068.035410700104,2588.2741904724053,9273626.199324055,159292.48091262736,0.0698229537869789,9.11,0.1674763703507715,73.0
广西,6,2012,33257,387,34152,168691,61340,85515,30.38,437.64001,1671.24,23189.199,699.52002,6.329999900000001,6,332.95001,7.349999900000001,6.31,75.769997,6.3099999,98.400002,85.099998,86.400002,7.969999799999999,2.8800001,696.32,4694,782.47,286.69,6.0,25.77,47.41,5.03,31.0,69.0,24594,0.4348103962505329,0.093278042287411,1834,6359.67192160204,3.593757988922028,1.306774605879847,1.821793779292714,4940.17873881551,148.3425649765658,21.64,1.839736127279783,38.0,2.225806451612903,46.87,33.17,13.7,西部,0.9737936284844226,0.29817832605177513,3852.7373654014273,1400.9455750082911,1953.0789182724807,5296186.130915664,159032.67407723717,0.093278042287411,13.7,0.29817832605177513,38.0
新疆,28,2012,16970,506,18320,131592,41358,52449,17.71,280.48999,2536.29,8386.5596,447.78,7.940000099999999,28,624.47998,3.1600001,4.48,73.010002,4.48,90.800003,81.699997,83.5,14.38,1.85,446.46,2253,566.3,190.0,7.55,49.65,124.8,2.55,48.0,153.0,33495,0.442077230359521,0.0679549114331723,1596,12073.10252996,5.840745672436751,1.835685752330226,2.327962716378162,3722.396626719929,198.1624500665779,75.15,2.513595166163142,105.0,3.1875,37.99,30.49,7.5,西部,0.9263100436681223,0.19378077694692686,8595.030953988678,2701.3290336423465,3425.746082632319,5477744.799035725,291608.7239131395,0.0679549114331723,7.5,0.19378077694692686,105.0
江苏,15,2012,28888,505,31050,333118,134800,155247,51.97,1283.6801,2388.9199,45054.648,952.9000199999999,6.46,15,121.91,0.47,6.99,77.16999799999999,6.9899998,100.0,97.900002,98.800003,3.8099999,0.52999997,950.45,8120,1892.02,483.75,3.5,33.13,65.38,6.95,39.0,79.0,67718,0.630049261083744,0.114961487825916,2786,8654.766009852221,4.10243842364532,1.660098522167488,1.911908866995074,5548.60197044335,117.0504926108374,32.24999999999999,1.973437971626924,40.0,2.025641025641026,32.74,17.48,15.26,东部,0.9303703703703704,0.20863477806663105,3568.5328201889356,1444.0475271869686,1663.0863980207364,4826487.613700245,101817.13443730367,0.114961487825916,15.26,0.20863477806663105,40.0
江西,16,2012,38369,512,39509,163721,56444,72055,25.96,364.82001,1461.47,18972.42,657.87,6.02,16,206.11,0.58999997,6.14,74.989998,6.1399999,92.900002,91.5,85.099998,3.98,2.3,661.61,4475,658.24,269.45,5.08,26.04,67.97,4.93,28.0,76.0,28948,0.473966480446927,0.0808940926024481,2295,6746.86033519553,3.658569832402235,1.26131843575419,1.610167597765363,4239.646927374301,147.8458100558659,41.93,2.610215053763441,48.0,2.714285714285714,42.05,30.56,11.49,中部,0.9711458148776229,0.3011220307718619,4522.666259923553,1559.2219347250812,1990.4637606586298,5240984.589826521,182764.65598353426,0.0808940926024481,11.49,0.3011220307718619,48.0
河北,9,2012,77177,597,79119,284359,108771,101988,46.33,665.35999,1712.66,36791.621,869.5999800000001,8.5200005,9,184.24001,0.22,6.41,75.790001,6.4099998,91.900002,90.400002,92.599998,5.23,2.52,870.78,7262,1248.1,368.32,4.7,28.76,82.63,6.91,31.0,97.0,32341,0.465987331313688,0.0909285267901194,2063,5617.515835857889,3.915711925089507,1.497810520517764,1.404406499586891,5066.320710548058,119.9091159460204,53.86999999999999,2.873087621696801,66.0,3.129032258064516,37.06,24.6,12.46,东部,0.9754546948267799,0.24300268322789148,4306.362440169878,1647.239401530171,1544.5169400231596,5571761.568558242,131871.83404257038,0.0909285267901194,12.46,0.24300268322789148,66.0
河南,10,2012,67252,581,69258,393993,116270,156041,65.26,816.88,1613.47,49655.238,1273.14,7.920000099999999,10,314.17999,1.99,6.71,75.470001,6.71,80.699997,81.0,81.699997,3.98,1.53,1265.06,9532,1517.63,489.46,5.13,26.21,79.64,10.12,28.0,87.0,30410,0.419848929920269,0.088210185645299,2012,5252.20310532942,4.133371800251783,1.219785984053714,1.63702266051196,5209.319974821654,132.7171632396139,53.43,3.038534910339565,59.0,3.107142857142857,41.59,29.1,12.49,中部,0.9710358370152185,0.25685735533372417,4685.821450226212,1382.8176135560827,1855.8204458321554,5905576.478173158,150455.5990543784,0.088210185645299,12.49,0.25685735533372417,59.0
浙江,30,2012,28939,377,30271,213286,109459,121313,40.01,1148.37,2818.51,45191.121,626.34998,7.139999900000001,30,209.14,0.44,5.52,78.220001,5.52,98.900002,95.699997,96.699997,5.0100002,0.60000002,629.1,5685,1543.7,342.67,4.45,31.79,71.61,2.39,53.0,101.0,62156,0.629023746701847,0.0874835886214442,2288,7320.80914687775,3.751732629727353,1.925400175901495,2.13391380826737,7949.185751978892,110.6596306068602,39.82,2.252595155709343,48.0,1.905660377358491,26.72,15.63,11.09,东部,0.955997489346239,0.11205611244994984,4288.498778852927,2200.8701360354758,2439.2161340124767,9086487.965618692,126491.87390529043,0.0874835886214442,11.09,0.11205611244994984,48.0
海南,8,2012,4839,107,5154,30289,12244,19432,5.93,93.75,2034.02,3904.0701,84.150002,6.3899999,8,278.47,1.22,5.81,72.690002,5.8099999,87.5,80.699997,89.599998,5.8400002,3.1800001,83.9,910,180.33,66.82,6.31,25.64,58.39,0.59,37.0,92.0,31818,0.50989010989011,0.0727321887251589,2218,10018.3516483517,3.328461538461538,1.345494505494506,2.135384615384615,4290.186923076923,92.1978021978022,32.75,2.277301092043682,55.0,2.486486486486486,35.82,25.93,9.89,东部,0.9388824214202561,0.19479018785697777,4576.325278810405,1849.9298990971847,2935.95539033457,5898608.3029739745,126763.40945300045,0.0727321887251589,9.89,0.19479018785697777,55.0
