quantile_group,sample_size,q_mean,y_mean,y_median
Q1,101,0.07860950732203695,-0.1806652079773648,-0.1268251302990715
Q2,101,0.10280236362700818,0.030281388011358372,0.03510253134194019
Q3,100,0.12664376554267004,0.24796425694129776,0.2505893074625015
Q4,101,0.1645988469709701,0.6116040271899964,0.5954784903376047
