model,coefficient,std_error,p_value,is_beta_convergence,convergence_speed,half_life_years,n_obs,r_squared
absolute_beta,-0.13239762848362596,0.03478817693989203,0.00014133368716996448,True,0.14202176661179103,4.880570049903874,372,0.07275059064054479
conditional_beta,-0.1375206910276635,0.03140448852421978,1.1921754160665154e-05,True,0.14794411996166826,4.6851958748988265,372,0.1534629952786455
