省份,代码_x,年份,基层医疗卫生机构数/个,专业公共卫生机构/个,医疗卫生机构数量/个,医疗卫生机构床位数/张,执业医师数/人,注册护士数/人,卫生人员数/万人,医疗卫生机构事业收入/亿元,人均卫生费用/元,诊疗人次数/万人次,入院人数/万人,城乡居民医疗保健支出占消费性支出,代码_y,甲乙类法定报告传染病发病率（1/10w）,甲乙类法定报告传染病死亡率（1/10w）,人口死亡率‰,人口平均预期寿命（岁）,孕产妇死亡率‰,新生儿访视率%,3岁以下儿童系统管理率%,7岁以下儿童健康保健管理率%,围产婴儿死亡率‰,5岁以下儿童低体重患病率%,出院人数（万人）,年末常住人口,卫生总费用,政府卫生支出（亿元）,卫生总费用占GDP比重（%）,农村每万人医疗机构床位数,城市每万人医疗机构床位数,基层医疗卫生机构床位数,每万人拥有农村卫生技术人员数,每万人拥有城市卫生技术人员数,人均GDP_元每人,城镇化率,65岁及以上人口占比,教育水平_每十万人高等学校在校生数,财政支出能力_元每人,每千人床位数,每千人医师数,每千人护士数,每千人诊疗人次,每千人出院人数,城乡床位差,城乡床位比,城乡卫技人员差,城乡卫技人员比
陕西,23,2013,34118,1962,37137,185139,60935,89551,32.19,432.20999,2701.1101,17191.66,547.37,8.96,23,207.73,0.47,6.15,75.620003,6.1500001,97.599998,95.300003,95.800003,5.0999999,1.0599999,543.38,3804,1016.7,293.96,6.34,35.78,68.51,3.42,45,90,42435,0.515772871,0.098284132,3612,9634.77918,4.866955836,1.601866456,2.354127234,4519.363828,142.8443743,32.73,1.914756847,45,2
陕西,23,2014,34202,1949,37247,199372,63214,97221,33.63,502.92001,2977.53,17508.461,595.66998,9.3100004,23,201.45,0.40000001,6.26,75.93,6.2600002,97.199997,95.300003,96,4.5300002,1.01,591.81,3827,1124.02,317.92,6.35,38.89,74.27,3.49,48,97,46221,0.530180298,0.106114588,3652,10354.06323,5.209615887,1.651789914,2.540397178,4574.983277,154.6407107,35.38,1.909745436,49,2.020833333
陕西,23,2015,34098,1804,37030,211885,66172,104317,34.99,559.71997,3307.0801,17501.109,625.46997,9.6000004,23,200.14,0.5,6.28,76.239998,6.2800002,97.599998,95,96,4.27,0.94,622.5,3846,1254.37,377.76,6.96,40.35,80.16,3.56,49,104,47408,0.547321893,0.103494382,3628,11378.21113,5.509230369,1.720540822,2.712350494,4550.470359,161.8564743,39.81,1.9866171,55,2.12244898
陕西,23,2016,34017,1390,36598,225400,71585,116803,37.26,628.13,3535.6599,18499.82,680.65002,10.4,23,194.25999,0.50999999,6.23,76.550003,6.23,97.5,95.400002,96,4.2800002,0.94,675.53,3874,1348.15,391.7,6.95,43.7,80.29,3.63,53,107,50142,0.56401652,0.107421753,3540,11330.33041,5.818275684,1.847831699,3.015049045,4775.379453,174.3753227,36.59,1.837299771,54,2.018867925
陕西,23,2017,33808,800,35861,241265,78249,126983,39.38,707.13,4010.0901,19155.391,751.37,10.96,23,193.11,0.66000003,6.24,76.860001,6.2399998,96.599998,94.900002,95.400002,3.71,0.88999999,745.44,3904,1538.05,424.72,7.02,45.54,87.05,3.88,56,116,55994,0.580686475,0.110967171,3582,12380.09734,6.179943648,2.004328893,3.25263832,4906.606301,190.942623,41.51,1.911506368,60,2.071428571
陕西,23,2018,33412,613,35300,253711,82880,138021,41.09,804.33002,4508.4199,19627.98,798.09003,11.45,23,186.31,0.73000002,6.24,77.18,6.2399998,94.800003,94.099998,95.099998,3.52,0.83999997,795.04,3931,1742.23,463.02,7.28,49.7,82.1,3.99,63,109,62169,0.596540321,0.11160207,3562,13488.78148,6.454108369,2.108369372,3.511091325,4993.126431,202.2487917,32.4,1.651911469,46,1.73015873
陕西,23,2019,33619,494,35404,265814,89326,150423,43.56,916.15002,4706.7998,20898.971,819.28003,11.35,23,180.23,0.75999999,6.28,77.489998,6.2800002,95.5,94.099998,94.900002,2.9300001,0.91000003,814.88,3944,1824.45,483.74,7.07,53.91,80.46,4.01,69,110,66577,0.612829615,0.120465548,3812,14499.29006,6.739705882,2.264858012,3.813970588,5298.927738,206.6125761,26.55,1.492487479,41,1.594202899
陕西,23,2020,33208,463,34983,272424,93988,155481,44.53,874.94,5127.8501,17664.449,675.67999,11.25,23,150.48,0.66000003,7.1,77.800003,6.8299999,97.300003,94.599998,95.400002,3.1099999,0.75,672.8,3955,2028.06,558.06,7.75,54.6,83.5,3.99,70,116,66583,0.626548673,0.1332,4132,14994.48799,6.888091024,2.376434893,3.93125158,4466.358786,170.11378,28.9,1.529304029,46,1.657142857
陕西,23,2021,33185,415,34971,284545,97605,159406,44.59,1014.72,5548.8999,18704.949,728.41998,11.15,23,155.42,0.67000002,7.4,78.110001,7.3800001,95.199997,96.199997,96.199997,3.1099999,0.66000003,727.9,3954,2145.49,593.26,7.2,68.33,75.2,4.05,83,102,77068,0.636317653,0.139960837,4279,15349.57006,7.196383409,2.468512898,4.031512393,4730.639605,184.0920587,6.87,1.10054149,19,1.228915663
陕西,23,2022,32978,407,34779,289666,102122,163131,45.59,1154.5,5969.9502,18145.449,781.15002,11.05,23,160.36,0.68000001,7.6,78.419998,7.9299998,93.099998,97.800003,97,3.1099999,0.56999999,728.16,3956,2408.36,690.25,7.35,70.48,75.63,4.12,86,104,83529,0.640293225,0.146798954,4409,17090.44489,7.322194135,2.581445905,4.123634985,4586.81724,184.0647118,5.15,1.073070375,18,1.209302326
陕西,23,2023,33334,391,35133,306287,109339,169656,47.1,1294.28,6391.0005,21745.949,833.88007,10.950001,23,165.3,0.69,7.64,78.729996,8.4799995,91,99.400009,97.800003,3.1099999,0.47999996,940.67,3952,,,,73.45,81.07,4.28,87,110,85929,0.651568826,0.152308173,4624,18155.5668,7.750177126,2.766675101,4.29291498,5502.51746,238.0237854,7.62,1.103744044,23,1.264367816
陕西,23,2024,33662,355,35426,309708,117956,172541,47.96,1434.0601,6812.0508,22126.449,886.61011,10.850001,23,170.24001,0.69999999,8.05,79.039993,9.0299993,88.900002,100,98.600006,3.1099999,0.38999993,952.27,3953,,,,73.5,82.7,4.32,86,114,89915,0.661522894,0.156816004,4715,18461.24462,7.834758411,2.983961548,4.364811536,5597.381482,240.8980521,9.2,1.125170068,28,1.325581395
青海,20,2012,5658,145,5948,26018,10162,10026,4.08,54.939999,2485.95,2134.0701,75.959999,7.5,20,464.44,0.74000001,6.06,70.760002,6.0599999,89,85.400002,80.699997,8.9300003,2.3299999,74.42,571,142.49,61.72,7.52,28.58,,0.51,31,,27181,0.478108581,0.070054371,1133,20298.59895,4.556567426,1.779684764,1.7558669,3737.425744,130.3327496,,,,
青海,20,2013,5701,170,6020,29529,11332,11492,4.47,68.349998,2813.1499,2203.53,82.330002,8.0600004,20,480.59,0.63,6.13,71.160004,6.1300001,88.900002,86.400002,81.800003,7.6799998,2.46,80.81,571,162.54,78.1,7.74,34.45,140.17,0.57,36,164,30405,0.492119089,0.07150346,1162,21507.00525,5.17145359,1.984588441,2.012609457,3859.071804,141.5236427,105.72,4.068795356,128,4.555555556
青海,20,2014,5878,174,6241,33007,10954,12750,4.64,76.959999,3004.8899,2253.4199,86.480003,7.5999999,20,387.76999,0.68000001,6.18,71.559998,6.1799998,92.400002,87.199997,83.199997,6.9899998,2.3599999,87.89,576,175.31,87.25,7.61,38.76,150.11,0.57,36,175,32696,0.508680556,0.071042792,1220,23392.88194,5.730381944,1.901736111,2.213541667,3912.187326,152.5868056,111.35,3.872807018,139,4.861111111
青海,20,2015,5860,178,6223,34546,11572,13194,4.84,83.440002,3667.8,2281.71,84.129997,8.3900003,20,414.29999,0.63,6.17,71.959999,6.1700001,89.800003,90.900002,87.300003,6.96,2.0699999,83.2,577,215.82,107.08,8.93,39.9,163.26,0.58,36,191,35634,0.516464471,0.07097401,1275,26259.2721,5.987175043,2.005545927,2.286655113,3954.436742,144.1941075,123.36,4.091729323,155,5.305555556
青海,20,2016,5908,180,6291,34749,11757,14364,4.97,93.080002,4043.05,2356.6299,91.18,9.54,20,426.63,0.93000001,6.18,72.360001,6.1799998,89.199997,87.300003,85.900002,7.0599999,2.3800001,90.73,582,239.75,111.83,9.32,39.4,161.87,0.52,37,198,39874,0.536082474,0.072187688,1319,26199.31271,5.970618557,2.020103093,2.468041237,4049.192268,155.8934708,122.47,4.108375635,161,5.351351351
青海,20,2017,5980,179,6375,38321,13193,16475,5.61,101.96,4513.4902,2545.48,97.339996,10.07,20,452.07001,0.70999998,6.17,72.760002,6.1700001,94.699997,90.199997,89.599998,7.3200002,1.58,97.53,586,270.08,127.35,10.29,43.45,175.28,0.58,41,220,43099,0.554607509,0.078963353,1391,26116.72355,6.539419795,2.251365188,2.811433447,4343.822526,166.4334471,131.83,4.03406214,179,5.365853659
青海,20,2018,5994,178,6396,39146,13725,17577,5.94,111.09,5107.2002,2533.5901,98.529999,10.26,20,433.29001,0.87,6.25,73.160004,6.25,92.300003,91.400002,89.400002,6.5,1.08,98.46,587,308.08,141.61,11.21,49.2,110.9,0.61,50,144,47739,0.572402044,0.075834176,1426,28065.24702,6.668824532,2.338160136,2.994378194,4316.167121,167.7342419,61.7,2.254065041,94,2.88
青海,20,2019,6114,176,6513,41443,14692,18910,6.2,130.95,5843.23,2659.3601,105.98,11.37,20,438.01999,1.13,6.08,73.559998,6.0799999,91.599998,91.599998,90.400002,6.46,1.28,104.75,590,355.16,158,11.97,52.41,105.52,0.64,54,133,51321,0.588135593,0.085358124,1486,31587.62712,7.024237288,2.490169492,3.205084746,4507.39,177.5423729,53.11,2.01335623,79,2.462962963
青海,20,2020,6018,172,6407,41285,15400,19678,6.43,127.83,6450.25,2400.3,101,12.48,20,376.79999,1.04,6.6,73.959999,6.5,92.699997,91.400002,91.5,6.4299998,1.01,101.5,593,382.11,186.47,12.71,50.1,104.7,0.54,55,134,52081,0.600337268,0.0868,1499,32594.26644,6.962057336,2.596964587,3.318381113,4047.72344,171.163575,54.6,2.089820359,79,2.436363636
青海,20,2021,6011,173,6408,42153,15796,21349,6.68,141.02,7057.27,2651.05,98.169998,13.59,20,392.09,0.86000001,6.9,74.360001,6.9099998,92.800003,91.400002,91.400002,6.4299998,0.81999999,97.3,594,388.07,190.96,11.6,58.35,90.64,0.57,63,125,58067,0.609427609,0.098902846,1613,31220.87542,7.096464646,2.659259259,3.594107744,4463.047138,163.8047138,32.29,1.553384747,62,1.984126984
青海,20,2022,5993,168,6376,42921,16192,21520,6.7,154.22,7664.29,2401.8,95.339996,14.7,20,407.38,0.68000001,7.2,74.760002,7.3200002,92.900002,91.400002,91.300003,6.4299998,0.63,87.23,595,398.81,184.36,11.05,58.95,92.84,0.6,64,125,61857,0.61512605,0.102231703,1738,33194.95798,7.213613445,2.721344538,3.616806723,4036.638655,146.605042,33.89,1.574893978,61,1.953125
青海,20,2023,6536,168,6950,45789,18388,23791,7.27,167.42,8271.3101,2942.55,92.509995,15.809999,20,422.67001,0.5,7.23,75.160004,7.7300005,93,91.400002,91.200005,6.4299998,0.44,119.06,594,,,,64.2,96.86,0.59,72,137,64747,0.627946128,0.104556355,1813,36847.13805,7.708585859,3.095622896,4.005218855,4953.787879,200.4377104,32.66,1.508722741,65,1.902777778
青海,20,2024,6536,124,6914,47857,20000,25262,7.65,180.62,8878.3301,3003.3,89.679993,16.919999,20,437.96002,0.31999999,7.4,75.560005,8.1400008,93.099998,91.400002,91.100006,6.4299998,0.25,130.37,593,,,,66,103.3,0.66,80,142,66568,0.639123103,0.105762934,1915,36493.25464,8.070320405,3.372681282,4.260033727,5064.586847,219.8482293,37.3,1.565151515,62,1.775
黑龙江,11,2012,19470,634,21158,178210,66821,70073,27.07,393.89001,2148.47,11528.58,420.09,9.5299997,11,224.87,0.79000002,6.03,76.589996,6.0300002,95.699997,92.800003,94.300003,7.52,1.64,421.11,3724,823.72,191,6.02,29.13,78.45,2.84,36,83,29765,0.568743287,0.088371366,2441,8516.433942,4.785445757,1.794334049,1.881659506,3095.75188,113.0800215,49.32,2.693099897,47,2.305555556
黑龙江,11,2013,18883,1433,21369,189183,68154,73974,27.91,454.35001,2525.77,12094.09,471.22,10.2,11,216.10001,0.83999997,6.08,76.900002,6.0799999,85.400002,93.300003,94.699997,7.3000002,1.59,469.47,3666,968.63,206.55,6.73,30.83,84.3,2.89,37,86,32522,0.580469176,0.089412657,2529,9190.343699,5.160474632,1.85908347,2.017839607,3298.987998,128.0605565,53.47,2.734349659,49,2.324324324
黑龙江,11,2014,18725,1443,21229,201337,68892,77720,28.35,499.22,2588.4399,12084.46,489.57001,10.36,11,207.8,0.69,6.46,77.209999,6.46,95.699997,93.699997,94.800003,6.6399999,1.55,486.7,3608,992.15,242.6,6.6,32.8,91.81,2.93,38,90,33976,0.5922949,0.093923875,2555,9518.348115,5.580293792,1.909423503,2.154101996,3349.351441,134.8946785,59.01,2.799085366,52,2.368421053
黑龙江,11,2015,18386,1301,20752,212590,70428,80955,28.59,548.32001,2736.5601,11474.85,514.94,10.08,11,199.75999,0.70999998,6.6,77.519997,6.5999999,96.5,93.5,94.800003,6.6500001,1.42,512,3529,1043.18,284.34,6.92,34.55,99.33,3,39,93,33693,0.604703882,0.108382754,2518,11393.19921,6.024086143,1.995692831,2.293992632,3251.586852,145.0835931,64.78,2.874963821,54,2.384615385
黑龙江,11,2016,18256,1037,20375,220054,72084,85418,29.23,615.66998,3133.4299,11890.82,564.14001,11.89,11,181.02,0.69,6.61,77.82,6.6100001,96.5,94.400002,95.300003,6.3899999,1.39,561.23,3463,1190.45,287.45,7.74,36.17,103.35,3,41,96,35128,0.611030898,0.119376294,2427,12207.16142,6.354432573,2.081547791,2.466589662,3433.676003,162.0646838,67.18,2.857340337,55,2.341463415
黑龙江,11,2017,18398,746,20283,241732,75558,90446,30.03,662.06,3542.76,11790.66,604.72998,11.89,11,174.08,0.92000002,6.63,78.129997,6.6300001,95.699997,93.900002,94.5,5.52,1.27,599.04,3399,1342.25,304.33,8.29,39.16,116.68,3.22,42,102,36898,0.61900559,0.121372116,2403,13654.25125,7.111856428,2.222947926,2.660959106,3468.86143,176.2400706,77.52,2.979570991,60,2.428571429
黑龙江,11,2018,18460,736,20349,250129,76443,93068,29.96,674.78003,3728.3999,11177.98,585.19,11.81,11,164.99001,1.12,6.67,78.440002,6.6700001,93.199997,92.099998,92.800003,5.1199999,1.02,582.82,3327,1406.76,308.3,10.95,41.2,121.3,3.16,43,104,39268,0.634505561,0.122148258,2405,14056.95822,7.518154494,2.297655546,2.797354974,3359.777577,175.1788398,80.1,2.944174757,61,2.418604651
黑龙江,11,2019,18478,704,20375,262575,79491,97640,30.56,751.34003,4027.0801,11250.89,604.73999,13.75,11,157.7,1.01,6.74,78.739998,6.7399998,94.800003,93.599998,93.699997,5.0100002,0.94999999,601.72,3255,1510.68,329.56,11.1,44.24,127.84,3.6,45,108,42426,0.646082949,0.137779758,2531,15396.4977,8.066820276,2.442119816,2.99969278,3456.494624,184.8602151,83.6,2.889692586,63,2.4
黑龙江,11,2020,18653,626,20461,253345,82025,102278,31.04,574.17999,5578.3799,8500.3301,358.10999,15.69,11,105.84,0.75,8.2,79.050003,7.7199998,96.800003,95.5,95.599998,5.0300002,0.85000002,360.9,3171,1776.72,524.28,12.97,45.4,121.3,3.12,46,112,43573,0.655944497,0.1561,2695,17185.14664,7.989435509,2.586723431,3.225417849,2680.646515,113.8126774,75.9,2.671806167,66,2.434782609
黑龙江,11,2021,18772,548,20578,260536,83220,107095,31.49,745.34998,7129.6802,9644.1104,442.10999,17.639999,11,132.22,0.75,8.7,79.360001,8.6999998,94.5,95.300003,95.300003,5.0300002,0.69999999,440.2,3125,1748.74,455.21,11.75,61.09,106.81,3.27,59,101,48579,0.65696,0.167774488,3448,16335.392,8.337152,2.66304,3.42704,3086.115328,140.864,45.72,1.748403994,42,1.711864407
黑龙江,11,2022,18805,504,20599,261327,84215,110712,32.09,916.52002,8680.9805,9587.89,526.10999,19.58,11,158.60001,0.75,9.1,79.660004,9.6800003,92.199997,95.099998,95,5.0300002,0.55000001,469.13,3099,1826.95,458.68,11.49,62.4,107.36,3.23,61,104,52568,0.66214908,0.178206905,3734,17592.73959,8.432623427,2.717489513,3.57250726,3093.865763,151.3810907,44.96,1.720512821,43,1.704918033
黑龙江,11,2023,19623,474,21417,273318,88510,118829,33.57,1087.6901,10232.281,12031.669,610.10999,21.52,11,184.98001,0.75,9.84,79.960007,10.660001,89.899994,94.899994,94.699997,5.0300002,0.40000004,671.89,3062,,,,67.36,112.3,3.36,65,111,53468,0.67112998,0.188108678,3817,18864.92489,8.926126715,2.890594383,3.880764206,3929.349771,219.4284781,44.94,1.66716152,46,1.707692308
黑龙江,11,2024,20759,403,22535,273109,93205,122746,34.45,1258.8601,11783.581,12515.448,694.10999,23.460001,11,211.36002,0.75,,80.26001,11.640001,87.599991,94.699989,94.399994,5.0300002,0.25000006,677.07,3029,,,,68.3,113.2,3.19,68,117,54102,0.680422582,0.194104061,3879,21309.14493,9.016474084,3.077088148,4.052360515,4131.874546,223.5292176,44.9,1.657393851,49,1.720588235
